CityName,County,Popluation_Density,Markets_Numbers,Educated_Score,Fastfood_Restaurant_Numbers,Covid19_Confirmed_Numbers,Covid19_Deaths_Numbers,Annual_Temperature,Crime_Rate
akron,Summit,3186,11,52.94,5,5073,248, ,377.428833
albany,Albany,3034,0,65.14,13,3006,134,57.8,330.6781345
albuquerque,Bernalillo,2979,2,57.75,35,6198,170, , 
alexandria,Calhoun,10367,15,81.7,19,3320,39, ,689.8666258
allentown,lehigh,6863,13,46.59,2,5469,346, ,259.65102
bethlehem,Lehigh,3942,0,46.59,3,5469,346, ,259.65102
anaheim,orange,7043,14,49.22,13,51873,1127, ,662.6310837
orlando,Orange,2707,0,54.78,31,51873,1127, ,662.6310837
anchorage,anchorage,175,18,57.79,6,3803,28,43.7,824.7217146
anderson,anderson,1333,0,47.66,14,56,0, ,600.0807801
ann arbor,washtenaw,4340,22,94.23,2,3305,115, ,294.4331527
arlington,Tarrant,4096,15,52.76,15,46537,690, ,416.156389
fort worth,Tarrant,2513,0,52.76,24,46537,690, ,416.156389
asheville,buncombe,1984,23,59.37,4,2844,79, ,238.7944109
austin,austin,3182,28,72.94,31,484,9, ,194.1276389
bakersfield,kern,2648,24,16.42,6,31261,350, ,575.8432818
baltimore,baltimore,7594,0,65.06,6,17365,617,65,1419.537569
bloomington,Monroe,2866,29,67.41,5,114,0, ,512.1085513
rochester,Monroe,2088,19,58.56,12,114,0, ,512.1085513
boston,Suffolk,13943,29,76.29,9,23674,1128, ,318.4490482
bradenton,Manatee,3927,4,53.45,4,11158,277, ,585.7833537
bridgeport,Fairfield,9138,13,71.91,2,19716,1420, ,675.0616643
fairfield,Fairfield,3069,0,42.16,18,19716,1420, ,675.0616643
brownsville,Cameron,1389,0,11.4,6,220,2, ,258.8214994
harlingen,Cameron,1646,12,11.4,11,220,2, ,258.8214994
buffalo,Erie,6362,8,55.74,4,10917,689,57.5,459.3060294
camden,Ouachita,8343,0,59.48,7,243,6, ,355.9715223
carlsbad,San Diego,3021,10,67.15,8,44293,796, , 
san diego,san diego,4326,19,67.15,20,44293,796, , 
