CityName,Popluation_Density,Markets_Numbers,Educated_Score,Fastfood_Restaurant_Numbers
new york,28211,12,63.19,36
los angeles,8484,5,49.22,33
chicago,11883,19,60.99,51
houston,3842,9,49.82,63
phoenix,3126,22,51.5,42
philadelphia,11692,6,59.48,26
san antonio,3238,11,45.69,27
san diego,4326,20,67.15,20
dallas,3870,0,52.76,32
san jose,5808,15,81.9,14
austin,3182,18,72.94,31
jacksonville,1457,0,52.45,33
san francisco,18581,25,79.48,3
columbus,913,24,58.1,41
indianapolis,2366,21,52.99,27
fort worth,2513,14,52.76,24
charlotte,2829,27,56.49,11
seattle,8391,30,73.76,16
denver,4530,17,69.45,52
el paso,2676,25,33.57,11
washington,11158,22,81.7,35
boston,13943,7,76.29,9
detroit,4849,8,51.35,14
nashville,1390,21,56.12,17
memphis,2072,22,44.75,30
portland,3141,17,67.96,34
oklahoma city,1053,0,51.43,41
las vegas,4660,1,41.03,72
baltimore,7594,20,65.06,6
milwaukee,6191,13,56.12,20
albuquerque,2979,6,57.75,35
tucson,2341,0,54.26,14
fresno,4663,1,28.79,4
sacramento,5058,1,57.68,10
kansas city,1216,15,59.77,18
atlanta,3549,15,62.16,41
long beach,9348,14,49.22,12
colorado springs,2391,17,71.22,15
raleigh,3211,25,70.96,13
miami,12645,0,51.94,58
virginia beach,1818,0,59.43,11
omaha,3517,21,59.91,17
minneapolis,7664,4,67.41,32
tulsa,2049,24,44.88,22
arlington,4096,22,52.76,15
new orleans,2311,29,47.1,4
wichita,2448,17,49.62,12
cleveland,4965,0,50.77,37
tampa,3326,20,50.36,21
bakersfield,2648,0,16.42,6
aurora,4475,13,69.45,25
anaheim,7043,21,49.22,13
corpus christi,2028,0,31.09,5
riverside,4002,17,32.26,8
lexington,1123,18,64.07,37
stockton,4979,6,25.42,8
pittsburgh,5484,17,59,10
cincinnati,3834,21,56.61,119
anchorage,175,16,57.79,6
henderson,2719,0,41.03,15
greensboro,2269,9,48.62,6
newark,11648,0,63.19,10
orlando,2707,19,54.78,31
fort wayne,2391,24,46.49,7
jersey city,17860,13,63.19,2
durham,2450,20,79.72,10
buffalo,6362,11,55.74,4
madison,3289,16,78.48,19
scottsdale,1341,15,51.5,9
reno,2381,15,55.26,16
norfolk,4529,21,59.43,9
baton rouge,2959,16,43.54,19
richmond,3652,18,59.16,25
san bernardino,3653,0,32.26,6
spokane,3645,0,58.2,10
des moines,2664,0,57.96,8
modesto,5755,0,21.68,10
birmingham,1452,14,49.83,11
rochester,2088,5,58.56,12
oxnard,7732,14,52.44,2
fayetteville,1557,21,47.65,17
