,CityName,Popluation_Density,Markets_Numbers,Educated_Score,Fastfood_Restaurant_Numbers,Fastfood_Restaurant_Numbers.1
83,akron,3186,11,52.94,5,5
144,albany,3034,0,65.14,13,13
30,albuquerque,2979,2,57.75,35,35
106,alexandria,10367,15,81.7,19,19
129,allentown,6863,13,46.59,2,2
51,anaheim,7043,14,49.22,13,13
58,anchorage,175,18,57.79,6,6
189,anderson,1333,0,47.66,14,14
128,ann arbor,4340,22,94.23,2,2
44,arlington,4096,15,52.76,15,15
150,asheville,1984,23,59.37,4,4
35,atlanta,3549,13,62.16,41,41
50,aurora,4475,18,69.45,25,25
10,austin,3182,28,72.94,31,31
49,bakersfield,2648,24,16.42,6,6
28,baltimore,7594,0,65.06,6,6
71,baton rouge,2959,7,43.54,19,19
167,bethlehem,3942,0,46.59,3,3
77,birmingham,1452,20,49.83,11,11
156,bloomington,2866,29,67.41,5,5
21,boston,13943,29,76.29,9,9
188,bradenton,3927,4,53.45,4,4
112,bridgeport,9138,13,71.91,2,2
92,brownsville,1389,0,11.4,6,6
66,buffalo,6362,8,55.74,4,4
169,camden,8343,0,59.48,7,7
174,canton,2801,12,40.94,19,19
135,carlsbad,3021,10,67.15,8,8
149,carmel,1919,16,52.99,1,1
185,chapel hill,2805,28,79.72,1,1
117,charleston,1233,26,56.82,15,15
16,charlotte,2829,0,56.49,11,11
95,chattanooga,1295,26,42.13,13,13
2,chicago,11883,1,60.99,51,51
57,cincinnati,3834,14,56.61,119,119
134,clearwater,4474,1,50.36,5,5
47,cleveland,4965,15,50.77,37,37
37,colorado springs,2391,13,71.22,15,15
118,columbia,1912,0,53.55,34,34
13,columbus,913,20,58.1,41,41
124,concord,1491,11,56.49,7,7
178,conway,1440,0,46.04,9,9
52,corpus christi,2028,18,31.09,5,5
183,council bluffs,1526,0,59.91,2,2
8,dallas,3870,1,52.76,32,32
143,davenport,1630,11,42.7,2,2
115,dayton,2525,0,53.44,25,25
176,daytona beach,1141,19,41.99,4,4
146,dearborn,3899,20,51.35,3,3
18,denver,4530,0,69.45,52,52
75,des moines,2664,10,57.96,8,8
22,detroit,4849,6,51.35,14,14
65,durham,2450,27,79.72,10,10
153,edinburg,2329,0,13.83,4,4
19,el paso,2676,0,33.57,11,11
136,elgin,3017,0,60.99,3,3
191,elyria,2611,1,50.77,5,5
