CityName,County,Popluation_Density,Markets_Numbers,Educated_Score,Fastfood_Restaurant_Numbers
akron,Summit,3186,11,52.94,5
albany,Albany,3034,0,65.14,13
albuquerque,Bernalillo,2979,2,57.75,35
alexandria,Calhoun,10367,15,81.7,19
allentown,lehigh,6863,13,46.59,2
anaheim,orange,7043,14,49.22,13
anchorage,anchorage,175,18,57.79,6
anderson,anderson,1333,0,47.66,14
ann arbor,washtenaw,4340,22,94.23,2
arlington,Tarrant,4096,15,52.76,15
asheville,buncombe,1984,23,59.37,4
atlanta,atlanta,3549,13,62.16,41
aurora,aurora,4475,18,69.45,25
austin,austin,3182,28,72.94,31
bakersfield,kern,2648,24,16.42,6
baltimore,baltimore,7594,0,65.06,6
baton rouge,baton rouge,2959,7,43.54,19
bethlehem,Lehigh,3942,0,46.59,3
birmingham,West Midlands,1452,20,49.83,11
bloomington,Monroe,2866,29,67.41,5
boston,Suffolk,13943,29,76.29,9
bradenton,Manatee,3927,4,53.45,4
bridgeport,Fairfield,9138,13,71.91,2
brownsville,Cameron,1389,0,11.4,6
buffalo,Erie,6362,8,55.74,4
camden,Ouachita,8343,0,59.48,7
canton,Canton,2801,12,40.94,19
carlsbad,San Diego,3021,10,67.15,8
carmel,Hamilton,1919,16,52.99,1
chapel hill,Chapel Hill,2805,28,79.72,1
charleston,charleston,1233,26,56.82,15
charlotte,charlotte,2829,0,56.49,11
chattanooga,Hamilton,1295,26,42.13,13
chicago,Cook,11883,1,60.99,51
cincinnati,Hamilton,3834,14,56.61,119
clearwater,clearwater,4474,1,50.36,5
cleveland,Cuyahoga,4965,15,50.77,37
colorado springs,El Paso,2391,13,71.22,15
columbia,comlumbia,1912,0,53.55,34
columbus,columbus,913,20,58.1,41
concord,Cabarrus,1491,11,56.49,7
conway,Faulkner,1440,0,46.04,9
corpus christi,corpus christi,2028,18,31.09,5
council bluffs,Pottawattamie,1526,0,59.91,2
dallas,dallas,3870,1,52.76,32
davenport,Polk,1630,11,42.7,2
dayton,Montgomery,2525,0,53.44,25
daytona beach,Volusia,1141,19,41.99,4
dearborn,dearborn,3899,20,51.35,3
denver,denver,4530,0,69.45,52
des moines,Des Moines,2664,10,57.96,8
detroit,Wayne,4849,6,51.35,14
durham,Durham,2450,27,79.72,10
edinburg,Hidalgo,2329,0,13.83,4
el paso,el paso,2676,0,33.57,11
elgin,Comanche,3017,0,60.99,3
elyria,Lorain,2611,1,50.77,5
eugene,Lane,3810,22,59.58,3
fairfield,Fairfield,3069,0,42.16,18
fayetteville,Cumberland,1557,15,47.65,17
fort myers,Lee,1931,28,45.83,3
fort wayne,Allen,2391,24,46.49,7
fort worth,Tarrant,2513,0,52.76,24
franklin,Williamson,1814,15,56.12,25
fresno,fresno,4663,1,28.79,4
gastonia,Gaston,1496,19,56.49,5
grand rapids,Kent,4424,21,54.24,12
greensboro,Guilford,2269,5,48.62,6
greenville,greenville,2353,18,47.66,34
gulfport,Harrison,1297,27,39.02,5
harlingen,Cameron,1646,12,11.4,11
hartford,Blackford,7091,9,64.2,12
henderson,Henderson,2719,23,41.03,15
hillsboro,Washington,4400,8,67.96,10
houston,Houston,3842,25,49.82,63
huntsville,Madison,924,17,63.08,10
indianapolis,Marion,2366,1,52.99,27
jackson,Jackson,1247,24,49.4,32
jacksonville,Duval,1457,0,52.45,33
jersey city,Hudson,17860,18,63.19,2
kansas city,Wyandotte,1216,7,59.77,18
kissimmee,Osceola,3274,0,54.78,9
knoxville,knoxville,1890,23,48.05,22
lafayette,lafayette,2588,15,33.43,16
lakeland,Polk,1630,19,31.62,5
lakewood,Jefferson,9092,20,69.45,8
lancaster,Lancaster,8191,20,38.3,18
lansing,Ingham,3218,13,64.74,5
las vegas,Clark,4660,4,41.03,72
lexington,Lexington,1123,12,64.07,37
little rock,Pulaski,1666,14,52.41,8
lodi,San Joaquin,4750,20,25.42,1
long beach,Los Angeles,9348,1,49.22,12
los angeles,Los Angeles,8484,0,49.22,33
madison,Madison,3289,0,78.48,19
manchester,Lancashire,3339,22,57.98,9
mcallen,Hidalgo,2942,1,13.83,4
memphis,Shelby,2072,13,44.75,30
miami,Miami-Dade,12645,17,51.94,58
milford,Hamilton,2399,1,58,11
milwaukee,milwaukee,6191,0,56.12,20
minneapolis,Hennepin,7664,15,67.41,32
mission,Hidalgo,2458,12,13.83,6
mobile,Mobile,1387,0,37.6,12
modesto,Stanislaus,5755,0,21.68,10
montgomery,montgomery,1254,17,46.62,14
murfreesboro,Rutherford,2384,19,56.12,9
naperville,naperville,3795,16,60.99,4
nashua,Hillsborough,2849,0,57.98,6
nashville,Davidson,1390,7,56.12,17
new braunfels,Comal,1686,0,45.69,5
new haven,new haven,6956,3,58,4
new orleans,new orleans,2311,13,47.1,4
new york,new york,28211,25,63.19,36
newark,Essex,11648,0,63.19,10
newport news,newport news,2646,19,59.43,2
norfolk,norfolk,4529,7,59.43,9
ocala,Marion,1322,18,27.18,1
ogden,Weber,3200,16,51.82,26
oklahoma city,oklahoma ,1053,15,51.43,41
omaha,Douglas,3517,18,59.91,17
ontario,San Bernardino,3468,17,32.26,3
orlando,Orange,2707,0,54.78,31
oxnard,Ventura,7732,14,52.44,2
pensacola,Escambia,2386,0,48.64,12
peoria,peoria,2380,0,49.89,10
philadelphia,philadelphia,11692,6,59.48,26
