Admin2,9/19/20
Autauga,1673
Baldwin,5047
Barbour,830
Bibb,628
Blount,1542
Bullock,585
Butler,908
Calhoun,3320
Chambers,1123
Cherokee,555
Chilton,1471
Choctaw,344
Clarke,1049
Clay,536
Cleburne,320
Coffee,1270
Colbert,1593
Conecuh,523
Coosa,161
Covington,1302
Crenshaw,522
Cullman,1830
Dale,1327
Dallas,1736
DeKalb,2346
Elmore,2519
Escambia,1557
Etowah,3334
Fayette,418
Franklin,1741
Geneva,563
Greene,300
Hale,612
Henry,467
Houston,2699
Jackson,1494
Jefferson,18911
Lamar,345
Lauderdale,1641
Lawrence,582
Lee,5705
Limestone,1973
Lowndes,645
Macon,476
Madison,7507
Marengo,699
Marion,937
Marshall,3821
Mobile,13039
Monroe,575
Montgomery,8628
Morgan,3181
Out of AL,0
Perry,537
Pickens,631
Pike,1151
Randolph,607
Russell,1711
Shelby,5645
St. Clair,2213
Sumter,418
Talladega,2050
Tallapoosa,1131
Tuscaloosa,7180
Unassigned,0
Walker,2207
Washington,544
Wilcox,530
Winston,699
Aleutians East,2
Aleutians West,7
Anchorage,3803
Bethel,90
Bristol Bay,10
Denali,2
Dillingham,7
Fairbanks North Star,946
Haines,5
Hoonah-Angoon,0
Juneau,262
Kenai Peninsula,435
Ketchikan Gateway,49
Kodiak Island,20
Kusilvak,11
Lake and Peninsula,0
Matanuska-Susitna,575
Nome,51
North Slope,83
Northwest Arctic,82
Out of AK,0
Petersburg,7
Prince of Wales-Hyder,30
Sitka,42
Skagway,0
Southeast Fairbanks,22
Unassigned,1
Valdez-Cordova,75
Wrangell,13
Yakutat,21
Yukon-Koyukuk,78
,0
Apache,3440
Cochise,1873
Coconino,3738
Gila,1217
Graham,787
Greenlee,58
La Paz,534
Maricopa,139245
Mohave,3886
Navajo,5740
Out of AZ,0
Pima,24313
Pinal,10337
Santa Cruz,2815
Unassigned,4
Yavapai,2457
Yuma,12498
Arkansas,348
Ashley,418
Baxter,266
Benton,6172
Boone,606
Bradley,334
Calhoun,34
Carroll,604
Chicot,992
Clark,307
Clay,258
Cleburne,311
Cleveland,178
Columbia,374
Conway,245
Craighead,2584
Crawford,1233
Crittenden,1868
Cross,402
Dallas,156
Desha,278
Drew,347
Faulkner,2201
Franklin,233
Fulton,119
Garland,1736
Grant,245
Greene,785
Hempstead,355
Hot Spring,1831
Howard,455
Independence,1013
Izard,147
Jackson,287
Jefferson,2844
Johnson,815
Lafayette,88
Lawrence,359
Lee,1044
Lincoln,1917
Little River,344
Logan,389
Lonoke,1027
Madison,331
Marion,75
Miller,768
Mississippi,1584
Monroe,114
Montgomery,136
Nevada,201
Newton,209
Ouachita,243
Out of AR,0
Perry,80
Phillips,453
Pike,218
Poinsett,603
Polk,251
Pope,2002
Prairie,136
Pulaski,8556
Randolph,379
Saline,1927
Scott,95
Searcy,139
Sebastian,3410
Sevier,1193
Sharp,188
St. Francis,1465
Stone,302
Unassigned,1649
Union,839
